2026-05-17 14:50:55 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 629 ms
2026-05-17 14:50:55 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:50:55 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:50:55 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
2026-05-17 14:50:55 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 0.969 seconds (JVM running for 340.105)
2026-05-17 14:50:55 INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2026-05-17 14:51:10 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-17 14:51:10 INFO  [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2026-05-17 14:51:10 INFO  [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2026-05-17 14:51:11 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-3 - Starting...
2026-05-17 14:51:11 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-3 - Start completed.
2026-05-17 14:52:19 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-3 - Shutdown initiated...
2026-05-17 14:52:19 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-3 - Shutdown completed.
2026-05-17 14:52:23 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 47928 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:52:23 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:52:23 INFO  [o.s.b.d.restart.ChangeableUrls] - The Class-Path manifest attribute in D:\develop\apache-maven-3.9.9\myrepository\com\sun\xml\bind\jaxb-impl\2.3.1\jaxb-impl-2.3.1.jar referenced one or more files that do not exist: file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/jaxb-runtime-2.3.1.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/txw2-2.3.1.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/istack-commons-runtime-3.0.7.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/stax-ex-1.8.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/FastInfoset-1.2.15.jar,file:/D:/develop/apache-maven-3.9.9/myrepository/com/sun/xml/bind/jaxb-impl/2.3.1/javax.activation-api-1.2.0.jar
2026-05-17 14:52:23 INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-17 14:52:23 INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-17 14:52:24 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:52:24 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:52:24 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
